memory_id,text,days_since_created,days_since_accessed,feedback_encoded,access_count_log,type_event,type_fact,type_goal,type_preference,type_task,human_score,human_label,type,created_at,last_accessed_at,access_count,feedback,ml_score,heuristic_score,ml_error,heuristic_error,ml_advantage
00a1edc5,User attended a wedding last weekend,116,75,-1,0.0,True,False,False,False,False,0.3,delete,event,2026-04-04,2026-05-15,0,negative,0.2318528765782574,0.116,0.06814712342174259,0.184,0.11585287657825741
00dacb82,Renew driving license this month,112,11,0,3.044522437723423,False,False,False,False,True,0.15,delete,task,2026-04-08,2026-07-18,20,none,0.1823562560218988,0.782,0.032356256021898816,0.632,0.5996437439781012
0390aeda,User had a job interview last week,52,6,-1,0.0,True,False,False,False,False,0.15,delete,event,2026-06-07,2026-07-23,0,negative,0.260725917880867,0.393,0.11072591788086703,0.24300000000000002,0.132274082119133
0396fbaa,User wears glasses,64,45,-1,0.0,False,True,False,False,False,0.8,keep,fact,2026-05-26,2026-06-14,0,negative,0.36767733327955004,0.231,0.43232266672045,0.5690000000000001,0.13667733327955006
042c7438,User works part-time at a bakery,131,49,0,1.6094379124341005,False,True,False,False,False,0.6,keep,fact,2026-03-20,2026-06-10,4,none,0.6797836386745593,0.436,0.07978363867455929,0.16399999999999998,0.08421636132544069
04d53bbc,User dislikes long meetings,13,10,1,0.6931471805599453,False,False,False,True,False,0.85,keep,preference,2026-07-16,2026-07-19,1,positive,0.8152984580656465,0.688,0.034701541934353486,0.16200000000000003,0.12729845806564655
053ccdb3,User has two younger siblings,36,14,-1,0.0,False,True,False,False,False,0.18,delete,fact,2026-06-23,2026-07-15,0,negative,0.39504610712585686,0.379,0.21504610712585687,0.199,-0.016046107125856857
06d48efa,Book flight tickets before price increase,41,20,0,1.6094379124341005,False,False,False,False,True,0.75,keep,task,2026-06-18,2026-07-09,4,none,0.6672918809665962,0.619,0.0827081190334038,0.131,0.0482918809665962
08b93e13,User had a job interview last week,84,3,0,0.6931471805599453,True,False,False,False,False,0.55,keep,event,2026-05-06,2026-07-26,1,none,0.45863306581072427,0.569,0.09136693418927577,0.018999999999999906,-0.07236693418927587
0afe7f69,User wants to publish a research paper,100,53,0,0.6931471805599453,False,False,True,False,False,0.9,keep,goal,2026-04-20,2026-06-06,1,none,0.5975316744969568,0.403,0.30246832550304326,0.497,0.19453167449695674
0ef27a04,Finish reading the assigned book by next week,23,12,0,2.4849066497880004,False,False,False,False,True,0.75,keep,task,2026-07-06,2026-07-17,11,none,0.7062308906940511,0.734,0.043769109305948906,0.016000000000000014,-0.02776910930594889
0faa538f,User visited the doctor last month,67,21,0,1.6094379124341005,True,False,False,False,False,0.15,delete,event,2026-05-23,2026-07-08,4,none,0.16979418551298509,0.508,0.01979418551298509,0.358,0.3382058144870149
0fbfc4fc,User wants to learn guitar,126,67,0,0.6931471805599453,False,False,True,False,False,0.65,keep,goal,2026-03-25,2026-05-23,1,none,0.6365974449432938,0.371,0.013402555056706178,0.279,0.26559744494329385
1011f2ba,User wants to run a marathon next year,132,127,0,2.302585092994046,False,False,True,False,False,0.65,keep,goal,2026-03-19,2026-03-24,9,none,0.5941639727490697,0.424,0.05583602725093029,0.22600000000000003,0.17016397274906975
106060ca,User wants to learn Spanish,26,13,0,0.6931471805599453,False,False,True,False,False,0.7,keep,goal,2026-07-03,2026-07-16,1,none,0.7878182854711353,0.582,0.08781828547113535,0.118,0.030181714528864645
12ec94ff,User prefers tea over coffee,156,36,0,0.6931471805599453,False,False,False,True,False,0.85,keep,preference,2026-02-23,2026-06-23,1,none,0.8517955491327148,0.445,0.0017955491327148465,0.40499999999999997,0.4032044508672851
